"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE-A","PP","Cs","Adelante Andalucía","Vox","PACMA","Andalucía por Sí","Unidas Podemos","v1x2","last_day","fuente","titular","urlDW"
"1","NC Report/La Razón","2 Dec 2020",900,NA,28.9,25.9,12.7,4.8,12,NA,NA,"11.3","3.0",2020-12-02,"https://www.larazon.es/andalucia/20201202/t73lb4ec3jdulogztyaog2oi3a.html","El Gobierno del cambio se reeditaría en Andalucía","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razón </a>"
"2","ElectoPanel/Electomanía","9 Jan 2020",NA,NA,24.8,24,7.3,17.9,21,NA,"0.6",NA,"0.8",2020-01-09,"https://electomania.es/andap10e/","AndalûhPanel (10e): PP, PSOE y Vox se disputan la victoria casi empatados. La derecha se consolida","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"3","Invest Group/CEA","23 Nov-3 Dec 2020",3600,48,23.5,26.6,12.2,4.8,15.7,NA,NA,"10.3","3.1",NA,"https://www.centrodeestudiosandaluces.es/barometro/cat/ultimo-barometro","Barómetro Andaluz. Diciembre 2020","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invest Group/CEA </a>"
"4","Celeste-Tel/PSOE","26 Jun-4 Jul 2020",1000,NA,31.1,26,11.2,NA,10.9,NA,NA,"16.6","5.1",NA,"https://www.diariodesevilla.es/andalucia/encuesta-Andalucia-PSOE-recupera-PP-reforzado_0_1484251831.html","El PSOE andaluz recupera vigor y sumaría con la izquierda ante un PP reforzado","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/PSOE </a>"
"5","Invest Group/CEA","18 Jun-1 Jul 2020",3600,58,30.4,30.8,11.2,4,10.1,NA,NA,"9.4","0.4",NA,"https://centrodeestudiosandaluces.es/barometro/barometro-andaluz-2","Barómetro Andaluz. Junio 2020","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invest Group/CEA </a>"
"6","SW Demoscopia/Grupo Viva","8-15 May 2020",1000,NA,25.1,26.8,13.1,NA,14.7,NA,NA,"15.8","1.7",NA,"https://andaluciainformacion.es/andalucia/899125/pp-aguanta-el-pulso-a-psoe-en-andalucia-con-el-tripartito-consolidado/","PP aguanta el pulso a PSOE en Andalucía con el tripartito consolidado","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia/Grupo Viva </a>"
"7","ElectoPanel/Electomanía","1 Apr-15 May 2020",NA,NA,28,33.1,10.3,4.7,9.7,NA,NA,"8.4","5.1",NA,"https://electomania.es/ep-17my-andalucia/","EP (17My): Andalucía - el PP de Juanma Moreno se coloca primero","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"8","ElectoPanel/Electomanía","23-27 Feb 2020",1100,NA,25.5,24.7,8.1,4,19.7,NA,"0.6","14.4","0.8",NA,"https://electomania.es/andp28f/","AndPanel (28F): la derecha seguiría gobernando en Andalucía con el PP rozando la primera fuerza","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"9","GAD3/ABC","17-21 Feb 2020",802,NA,28.6,26.5,9.3,15.8,14.7,NA,NA,NA,"2.1",NA,"https://sevilla.abc.es/andalucia/sevi-encuesta-28-f-pp-y-ciudadanos-consolidan-ventaja-como-mayoria-gobierno-andalucia-202002272301_noticia.html","PP, Vox y Ciudadanos consolidan la ventaja como mayoría de Gobierno en Andalucía","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"10","SW Demoscopia/Grupo Viva","5-18 Feb 2020",1310,NA,25.7,26.4,9.6,17.1,15.4,NA,NA,NA,"0.7",NA,"https://andaluciainformacion.es/andalucia/880884/pp-y-cs-seguirian-al-frente-de-la-junta-con-el-apoyo-de-vox/","PP y Cs seguirían al frente de la Junta con el apoyo de Vox","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia/Grupo Viva </a>"
"11","Celeste-Tel/PSOE","20-30 Jan 2020",2600,61.1,31.6,25.1,12.2,17,10.7,NA,NA,NA,"6.5",NA,"https://www.larazon.es/andalucia/20200221/nxlivo7i6rb3jd5sfsjrxfmdtq.html","El PSOE-A ganaría las autonómicas con 40 escaños y PP-A, Cs y Vox no sumarían mayoría absoluta, según un sondeo socialista","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/PSOE </a>"
"12","Nexo/CEA","25 Nov-12 Dec 2019",2627,57,27.8,24.5,10.5,15.6,16.2,1.4,NA,NA,"3.3",NA,"https://centrodeestudiosandaluces.es/barometro/barometro-andaluz-1","Barómetro Andaluz. Diciembre 2019","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Nexo/CEA </a>"
"13","Celeste-Tel/PSOE","15-25 Jul 2019",2600,60.8,33.6,24.6,14,16.1,8.2,NA,NA,NA,"9.0",NA,"https://www.eldiario.es/andalucia/andaluces-desaprueba-Gobierno-alcanzado-derechas_0_925657631.html","Un sondeo encargado por el PSOE revela que el 51,6% de andaluces censura el pacto de las tres derechas para gobernar su región","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/PSOE </a>"
"14","Asé-Psiké/CEA","10-26 Jun 2019",2567,60.2,30.5,24.8,17.8,14,8.1,1.2,NA,NA,"5.7",NA,"https://centrodeestudiosandaluces.es/barometro/barometro-andaluz","Barómetro Andaluz. Junio 2019","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Asé-Psiké/CEA </a>"
"15","Hamalgama Métrica/OKDiario","30 Nov-1 Dec 2020",800,NA,28.3,25.5,11.5,3,13.2,NA,NA,"12.5","2.8",NA,"https://okdiario.com/andalucia/derecha-volveria-gobernar-andalucia-dos-anos-despues-autonomicas-6519732","La derecha volvería a gobernar en Andalucía dos años después de las autonómicas","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Hamalgama Métrica/OKDiario </a>"
"16","Dialoga Consultores","23-27 Nov 2020",1500,NA,25.6,28.1,11.8,6.1,12.5,NA,NA,"9.8","2.5",NA,"https://www.europapress.es/andalucia/noticia-pp-ganaria-25-puntos-diputados-psoe-volveria-sumar-mayoria-vox-cs-sondeo-20201129100613.html","PP-A ganaría con 2,5 puntos y 7 diputados sobre el PSOE-A y volvería a sumar mayoría con Vox y Cs, según un sondeo","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Dialoga Consultores </a>"
"17","SW Demoscopia/Grupo Viva","16-26 Nov 2020",NA,NA,26.9,28.7,10.6,9.8,14.1,NA,NA,"5.6","1.8",NA,"https://andaluciainformacion.es/andalucia/935746/el-pp-afianza-su-liderazgo-en-un-ano-marcado-por-la-crisis-del-covid/","El PP afianza su liderazgo en un año marcado por la crisis del Covid","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia/Grupo Viva </a>"
"18","ElectoPanel/Electomanía","30 Sep-13 Nov 2020",7230,NA,30.4,31.1,11.6,4.1,11.1,NA,NA,"10.8","0.7",NA,"https://electomania.es/epauto15n20/","EP Autonómico (15N): Teresa Rodríguez, sin escaño, sería 'expulsada' del Parlamento andaluz. Vox saca partido de la bronca en Adelante Andalucía","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomanía </a>"
"19","Invest Group/CEA","15-25 Sep 2020",3600,51.8,26.4,30.2,11.9,4.2,13.3,NA,NA,"10.8","3.8",NA,"https://www.centrodeestudiosandaluces.es/barometro/barometro-andaluz-3","Barómetro Andaluz. Septiembre 2020","<a href= https://en.wikipedia.org/wiki/Next_Andalusian_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invest Group/CEA </a>"
