"","encuestadora_comisionado","trabajo_campo","muestra","participacion","Cs","JxCat","ERC–CatSí","PSC","CatComú–Podem","CUP","PP","Vox","PP+Cs","Junts","PDeCAT","v1x2","last_day","fuente","titular","urlDW"
"1","ElectoPanel/Electomanía","20 Dec 2020",400,NA,10.4,NA,22.8,18.2,7.4,5.2,6.4,4.9,NA,"19.7","1.8","3.1",2020-12-20,"https://electomania.es/catpanel20d20/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"2","ElectoPanel/Electomanía","30 Nov 2020",815,NA,9.8,NA,23.2,18.2,7.7,5.2,6.8,5.3,NA,"20.2","1.7","3.0",2020-11-30,"https://electomania.es/catpanel30n20/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"3","KeyData/Público","17 Oct 2020",NA,71.9,12.3,19.7,24.1,17,7.6,4.8,6.4,4.2,NA,NA,NA,"4.4",2020-10-17,"https://www.publico.es/politica/erc-impondria-elecciones-catalanas-independentismo-no-llegaria-50-votos.html","KeyData/Público","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> KeyData/Público </a>"
"4","ElectoPanel/Electomanía","31 Aug 2020",8000,NA,10.1,21.4,22.4,17.9,8.1,5.5,7.1,4.6,NA,NA,NA,"1.0",2020-08-31,"https://electomania.es/epauto31ago20/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"5","KeyData/Público","6 Feb 2020",NA,80.9,12,19.1,23.7,18,9.1,7,4.6,4,NA,NA,NA,"4.6",2020-02-06,"https://www.publico.es/politica/sondeos-erc-superaria-jxc-tres-partidos-independentistas-sumarian-votos-constitucionalistas.html","KeyData/Público","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> KeyData/Público </a>"
"6","ERC","2 Feb 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-02-02,"https://www.lavanguardia.com/politica/20200202/473257964702/elecciones-autonomicas-catalunya-erc-esquerra-jxcat-torra-torrent-aragones.html","ERC","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ERC </a>"
"7","SocioMétrica/El Español","2 Feb 2020",NA,NA,NA,18.6,23,19.4,10,6.2,NA,4.8,17,NA,NA,"3.6",2020-02-02,"https://www.elespanol.com/espana/politica/20200202/erc-absoluta-catalanes-sanchez-psc-iglesias-comu/464204071_0.html","SocioMétrica/El Español","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SocioMétrica/El Español </a>"
"8","SocioMétrica/El Español","2 Feb 2020",NA,NA,10.9,18.6,23,19.4,10,6.2,6.1,4.8,NA,NA,NA,"3.6",2020-02-02,"https://www.elespanol.com/espana/politica/20200202/erc-absoluta-catalanes-sanchez-psc-iglesias-comu/464204071_0.html","SocioMétrica/El Español","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SocioMétrica/El Español </a>"
"9","ElectoPanel/Electomanía","11 Sep 2019",NA,NA,15.2,15.8,25.3,20.1,7.6,5.4,6.3,1.8,NA,NA,NA,"5.2",2019-09-11,"https://electomania.es/catp11s/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"10","ElectoPanel/Electomanía","20 Aug 2019",NA,NA,14.5,15.5,26.4,20.3,7.1,6,6,2,NA,NA,NA,"6.1",2019-08-20,"https://electomania.es/catp20a/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
