"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Vox","Unidas Podemos","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EH Bildu","CUP","CC-NCa","BNG","NA+","PRC","v1x2","last_day","fuente","titular","urlDW"
"1","ElectoPanel/Electomania","21-25 Dec 2020",1413,NA,27.4,22.7,16.3,11.3,6.7,3.3,1.7,2.4,1.5,1.3,0.8,0.5,0.6,"0.4","0.3","4.7",2020-12-25,"https://electomania.es/ep27d20/","ElectoPanel (27D): el bipartidismo supera el 50%","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"2","Invymark/laSexta","14-18 Dec 2020",NA,NA,27.4,23,16.1,10.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4",2020-12-18,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-lidera-en-intencion-de-voto-con-mas-de-4-puntos-de-distancia-del-pp_202012205fdf4e76ae19b30001f68e10.html","Barometro laSexta. El PSOE lidera en intencion de voto a mas de 4 puntos de distancia del PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"3","DYM/Henneo","15-17 Dec 2020",1000,NA,24,22.9,17.4,10.4,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1",2020-12-17,"https://www.20minutos.es/noticia/4525047/0/psoe-y-up-rebajan-el-desgaste-pero-siguen-lejos-del-10-n/","PSOE y UP rebajan el desgaste, pero siguen lejos del 10-N","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"4","ElectoPanel/Electomania","15-17 Dec 2020",1413,NA,27.3,22.3,16.6,11.4,6.5,3.4,1.6,2.5,1.6,1.3,0.8,0.5,0.7,"0.4","0.3","5.0",2020-12-17,"https://electomania.es/ep18d20/","ElectoPanel (18D): menos distancia entre UP y Vox, que entre Vox y el PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"5","Celeste-Tel/Onda Cero","9-15 Dec 2020",1100,64.5,27.1,23.3,14.9,12,6.5,3.8,2.7,2.2,1.6,1.1,1,0.5,0.9,"0.4","0.3","3.8",2020-12-15,"https://www.celeste-tel.es/wp-content/uploads/2020/12/Bar%C3%B3metro-Electoral-Mensual-Diciembre2020.pdf","Estudio electoral de expectiva de voto al Congreso de los Diputados. Ambito nacional. Diciembre de 2020","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/Onda Cero </a>"
"6","GAD3/COPE","30 Nov-14 Dec 2020",2005,64,28,25.2,13.1,9.5,7.1,3.4,1.4,1.8,1.7,1.5,0.8,0.6,1,"0.4","0.3","2.8",2020-12-14,"https://www.cope.es/programas/herrera-en-cope/noticias/michavila-cope-con-110-escanos-esta-tres-puntos-los-socialistas-20201216_1047979","Encuesta GAD3: Casado recorta distancias con Sanchez y se queda cerca del sorpasso","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/COPE </a>"
"7","ElectoPanel/Electomania","7-11 Dec 2020",1532,NA,27.5,21.8,17,11.6,6.3,3.4,1.5,2.6,1.6,1.3,0.8,0.5,0.7,"0.4","0.2","5.7",2020-12-11,"https://electomania.es/ep13d20/","ElectoPanel (13D): Casado, a medio camino entre PSOE y Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"8","CIS","1-9 Dec 2020",3817,NA,29.5,19.2,14,10.8,10.5,2.9,2.4,1.7,1.4,1.2,0.8,0.5,0.5,"0.4","0.1","10.3",2020-12-09,"http://datos.cis.es/pdf/Es3303marMT_A.pdf","Barometro de diciembre 2020 (Estudio nº 3303. Diciembre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"9","Simple Logica","30 Nov-9 Dec 2020",1065,NA,27.9,19.9,16.2,11.6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.0",2020-12-09,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-diciembre-2020/","Intencion de voto y valoracion de lideres politicos (diciembre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"10","Sigma Dos/Antena 3","7 Dec 2020",NA,NA,28.5,25.5,13.4,12.1,7,3.3,0.8,2.1,1.9,NA,NA,NA,NA,NA,NA,"3.0",2020-12-07,"https://www.antena3.com/noticias/espana/barometro-psoe-seguiria-siendo-partido-mas-votado-sube-fuerza_202012075fcde90455a6d40001e6a3e3.html","Barometro: El PSOE seguiria siendo el partido mas votado y el PP sube con fuerza","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/Antena 3 </a>"
